index,image,op,backend,cuda_variant,threads_used,time_ms,correct,width,height,area
1,input1.ppm,sobel,cuda,0,0,7.734600,1,1582,1358,2148356
1,input1.ppm,sobel,cuda,1,0,8.058000,1,1582,1358,2148356
1,input1.ppm,sobel,cuda,2,0,6.596600,1,1582,1358,2148356
1,input1.ppm,sobel,cuda,3,0,8.682500,1,1582,1358,2148356
1,input1.ppm,sobel,cpu,,1,53.222400,1,1582,1358,2148356
1,input1.ppm,sobel,mt,,20,10.509500,1,1582,1358,2148356
1,input1.ppm,sobel,npp,,1,9.373900,0,1582,1358,2148356
1,input1.ppm,sharpen,cuda,,1,7.582300,1,1582,1358,2148356
1,input1.ppm,sharpen,cpu,,1,103.668100,1,1582,1358,2148356
1,input1.ppm,sharpen,mt,,20,12.136600,1,1582,1358,2148356
1,input1.ppm,sharpen,npp,,1,7.634000,0,1582,1358,2148356
1,input1.ppm,gaussian,cuda,,1,7.937400,1,1582,1358,2148356
1,input1.ppm,gaussian,cpu,,1,91.276000,1,1582,1358,2148356
1,input1.ppm,gaussian,mt,,20,12.908700,1,1582,1358,2148356
1,input1.ppm,gaussian,npp,,1,8.052800,0,1582,1358,2148356
2,input2.ppm,sobel,cuda,0,0,80.040400,1,3546,6060,21488760
2,input2.ppm,sobel,cuda,1,0,81.040200,1,3546,6060,21488760
2,input2.ppm,sobel,cuda,2,0,76.536100,1,3546,6060,21488760
2,input2.ppm,sobel,cuda,3,0,74.243200,1,3546,6060,21488760
2,input2.ppm,sobel,cpu,,1,539.616800,1,3546,6060,21488760
2,input2.ppm,sobel,mt,,20,54.352300,1,3546,6060,21488760
2,input2.ppm,sobel,npp,,1,85.896400,0,3546,6060,21488760
2,input2.ppm,sharpen,cuda,,1,77.074900,1,3546,6060,21488760
2,input2.ppm,sharpen,cpu,,1,1068.034600,1,3546,6060,21488760
2,input2.ppm,sharpen,mt,,20,113.936400,1,3546,6060,21488760
2,input2.ppm,sharpen,npp,,1,71.652500,0,3546,6060,21488760
2,input2.ppm,gaussian,cuda,,1,76.819100,1,3546,6060,21488760
2,input2.ppm,gaussian,cpu,,1,932.745200,1,3546,6060,21488760
2,input2.ppm,gaussian,mt,,20,96.810400,1,3546,6060,21488760
2,input2.ppm,gaussian,npp,,1,70.874900,0,3546,6060,21488760
3,input3.ppm,sobel,cuda,0,0,834.888800,1,10491,20480,214855680
3,input3.ppm,sobel,cuda,1,0,835.649500,1,10491,20480,214855680
3,input3.ppm,sobel,cuda,2,0,760.566400,1,10491,20480,214855680
