index,image,op,backend,threads_used,time_ms,correct,width,height
0,image0.jpg,sobel,cuda,0,0.137900,1,1024,1024
0,image0.jpg,sobel,cpu,1,26.889600,1,1024,1024
0,image0.jpg,sobel,mt,0,27.181900,1,1024,1024
0,image0.jpg,sharpen,cuda,0,0.053700,1,1024,1024
0,image0.jpg,sharpen,cpu,1,55.760100,1,1024,1024
0,image0.jpg,sharpen,mt,0,56.470300,1,1024,1024
0,image0.jpg,gaussian,cuda,0,0.084900,1,1024,1024
0,image0.jpg,gaussian,cpu,1,45.569200,1,1024,1024
0,image0.jpg,gaussian,mt,0,46.437600,1,1024,1024
1,image1.jpg,sobel,cuda,0,0.101000,1,800,800
1,image1.jpg,sobel,cpu,1,16.986400,1,800,800
1,image1.jpg,sobel,mt,0,16.100800,1,800,800
1,image1.jpg,sharpen,cuda,0,0.044200,1,800,800
1,image1.jpg,sharpen,cpu,1,33.780900,1,800,800
1,image1.jpg,sharpen,mt,0,33.769800,1,800,800
1,image1.jpg,gaussian,cuda,0,0.078100,1,800,800
1,image1.jpg,gaussian,cpu,1,29.692500,1,800,800
1,image1.jpg,gaussian,mt,0,27.338700,1,800,800
2,image10.jpg,sobel,cuda,0,0.110800,1,1024,768
2,image10.jpg,sobel,cpu,1,19.995300,1,1024,768
2,image10.jpg,sobel,mt,0,19.673000,1,1024,768
2,image10.jpg,sharpen,cuda,0,0.048100,1,1024,768
2,image10.jpg,sharpen,cpu,1,38.288400,1,1024,768
2,image10.jpg,sharpen,mt,0,38.495100,1,1024,768
2,image10.jpg,gaussian,cuda,0,0.138000,1,1024,768
2,image10.jpg,gaussian,cpu,1,34.881400,1,1024,768
2,image10.jpg,gaussian,mt,0,34.566100,1,1024,768
3,image100.jpg,sobel,cuda,0,0.091700,1,663,800
3,image100.jpg,sobel,cpu,1,13.591900,1,663,800
3,image100.jpg,sobel,mt,0,13.442100,1,663,800
3,image100.jpg,sharpen,cuda,0,0.043100,1,663,800
3,image100.jpg,sharpen,cpu,1,26.680400,1,663,800
3,image100.jpg,sharpen,mt,0,27.150300,1,663,800
3,image100.jpg,gaussian,cuda,0,0.097000,1,663,800
3,image100.jpg,gaussian,cpu,1,23.756200,1,663,800
3,image100.jpg,gaussian,mt,0,23.317500,1,663,800
4,image1000.jpg,sobel,cuda,0,0.099500,1,800,800
4,image1000.jpg,sobel,cpu,1,16.853400,1,800,800
4,image1000.jpg,sobel,mt,0,17.785800,1,800,800
4,image1000.jpg,sharpen,cuda,0,0.044200,1,800,800
4,image1000.jpg,sharpen,cpu,1,32.266400,1,800,800
4,image1000.jpg,sharpen,mt,0,32.177200,1,800,800
4,image1000.jpg,gaussian,cuda,0,0.077600,1,800,800
4,image1000.jpg,gaussian,cpu,1,29.160300,1,800,800
4,image1000.jpg,gaussian,mt,0,28.787400,1,800,800
5,image1001.jpg,sobel,cuda,0,0.123000,1,799,1023
5,image1001.jpg,sobel,cpu,1,21.361200,1,799,1023
5,image1001.jpg,sobel,mt,0,21.201000,1,799,1023
5,image1001.jpg,sharpen,cuda,0,0.047300,1,799,1023
5,image1001.jpg,sharpen,cpu,1,42.206300,1,799,1023
5,image1001.jpg,sharpen,mt,0,43.817600,1,799,1023
5,image1001.jpg,gaussian,cuda,0,0.081000,1,799,1023
5,image1001.jpg,gaussian,cpu,1,35.382500,1,799,1023
5,image1001.jpg,gaussian,mt,0,35.942500,1,799,1023
6,image1002.jpg,sobel,cuda,0,0.088400,1,632,800
6,image1002.jpg,sobel,cpu,1,14.016900,1,632,800
6,image1002.jpg,sobel,mt,0,12.835200,1,632,800
6,image1002.jpg,sharpen,cuda,0,0.045300,1,632,800
6,image1002.jpg,sharpen,cpu,1,25.891000,1,632,800
6,image1002.jpg,sharpen,mt,0,26.484500,1,632,800
6,image1002.jpg,gaussian,cuda,0,0.072400,1,632,800
6,image1002.jpg,gaussian,cpu,1,22.396200,1,632,800
6,image1002.jpg,gaussian,mt,0,22.943200,1,632,800
7,image1003.jpg,sobel,cuda,0,0.113600,1,1024,768
7,image1003.jpg,sobel,cpu,1,20.117300,1,1024,768
7,image1003.jpg,sobel,mt,0,21.657800,1,1024,768
7,image1003.jpg,sharpen,cuda,0,0.050400,1,1024,768
7,image1003.jpg,sharpen,cpu,1,37.527600,1,1024,768
7,image1003.jpg,sharpen,mt,0,38.663600,1,1024,768
7,image1003.jpg,gaussian,cuda,0,0.080200,1,1024,768
7,image1003.jpg,gaussian,cpu,1,35.868900,1,1024,768
7,image1003.jpg,gaussian,mt,0,34.955800,1,1024,768
8,image1004.jpg,sobel,cuda,0,0.180500,1,1600,787
8,image1004.jpg,sobel,cpu,1,32.050200,1,1600,787
8,image1004.jpg,sobel,mt,0,32.210900,1,1600,787
8,image1004.jpg,sharpen,cuda,0,0.054900,1,1600,787
8,image1004.jpg,sharpen,cpu,1,64.558400,1,1600,787
8,image1004.jpg,sharpen,mt,0,64.309900,1,1600,787
8,image1004.jpg,gaussian,cuda,0,0.126000,1,1600,787
8,image1004.jpg,gaussian,cpu,1,55.453700,1,1600,787
8,image1004.jpg,gaussian,mt,0,55.101300,1,1600,787
9,image1005.jpg,sobel,cuda,0,0.104400,1,1024,683
9,image1005.jpg,sobel,cpu,1,17.717400,1,1024,683
9,image1005.jpg,sobel,mt,0,17.516200,1,1024,683
9,image1005.jpg,sharpen,cuda,0,0.045300,1,1024,683
9,image1005.jpg,sharpen,cpu,1,36.984600,1,1024,683
9,image1005.jpg,sharpen,mt,0,37.033700,1,1024,683
9,image1005.jpg,gaussian,cuda,0,0.077700,1,1024,683
9,image1005.jpg,gaussian,cpu,1,29.798700,1,1024,683
9,image1005.jpg,gaussian,mt,0,30.778800,1,1024,683
10,image1006.jpg,sobel,cuda,0,0.099300,1,800,800
10,image1006.jpg,sobel,cpu,1,16.360900,1,800,800
10,image1006.jpg,sobel,mt,0,16.693300,1,800,800
10,image1006.jpg,sharpen,cuda,0,0.051700,1,800,800
10,image1006.jpg,sharpen,cpu,1,31.289100,1,800,800
10,image1006.jpg,sharpen,mt,0,33.259800,1,800,800
10,image1006.jpg,gaussian,cuda,0,0.077900,1,800,800
10,image1006.jpg,gaussian,cpu,1,28.579000,1,800,800
10,image1006.jpg,gaussian,mt,0,28.318500,1,800,800
11,image1007.jpg,sobel,cuda,0,0.133600,1,1024,768
11,image1007.jpg,sobel,cpu,1,20.004500,1,1024,768
11,image1007.jpg,sobel,mt,0,19.492100,1,1024,768
11,image1007.jpg,sharpen,cuda,0,0.046100,1,1024,768
11,image1007.jpg,sharpen,cpu,1,38.057000,1,1024,768
11,image1007.jpg,sharpen,mt,0,40.118600,1,1024,768
11,image1007.jpg,gaussian,cuda,0,0.076900,1,1024,768
11,image1007.jpg,gaussian,cpu,1,34.076400,1,1024,768
11,image1007.jpg,gaussian,mt,0,33.839500,1,1024,768
12,image1008.jpg,sobel,cuda,0,0.115000,1,1024,683
12,image1008.jpg,sobel,cpu,1,18.424000,1,1024,683
12,image1008.jpg,sobel,mt,0,17.741200,1,1024,683
12,image1008.jpg,sharpen,cuda,0,0.044500,1,1024,683
12,image1008.jpg,sharpen,cpu,1,37.575800,1,1024,683
12,image1008.jpg,sharpen,mt,0,37.905700,1,1024,683
12,image1008.jpg,gaussian,cuda,0,0.087800,1,1024,683
12,image1008.jpg,gaussian,cpu,1,30.940000,1,1024,683
12,image1008.jpg,gaussian,mt,0,31.218400,1,1024,683
13,image1009.jpg,sobel,cuda,0,0.108100,1,975,653
13,image1009.jpg,sobel,cpu,1,16.389900,1,975,653
13,image1009.jpg,sobel,mt,0,16.560100,1,975,653
13,image1009.jpg,sharpen,cuda,0,0.046400,1,975,653
13,image1009.jpg,sharpen,cpu,1,31.248600,1,975,653
13,image1009.jpg,sharpen,mt,0,32.929700,1,975,653
13,image1009.jpg,gaussian,cuda,0,0.079200,1,975,653
13,image1009.jpg,gaussian,cpu,1,27.606200,1,975,653
13,image1009.jpg,gaussian,mt,0,27.602500,1,975,653
14,image101.jpg,sobel,cuda,0,0.184100,1,1600,912
14,image101.jpg,sobel,cpu,1,39.291900,1,1600,912
14,image101.jpg,sobel,mt,0,37.196300,1,1600,912
14,image101.jpg,sharpen,cuda,0,0.055500,1,1600,912
14,image101.jpg,sharpen,cpu,1,76.811400,1,1600,912
14,image101.jpg,sharpen,mt,0,77.129400,1,1600,912
14,image101.jpg,gaussian,cuda,0,0.090500,1,1600,912
14,image101.jpg,gaussian,cpu,1,62.660300,1,1600,912
14,image101.jpg,gaussian,mt,0,64.264900,1,1600,912
15,image1010.jpg,sobel,cuda,0,0.068400,1,640,436
15,image1010.jpg,sobel,cpu,1,7.115500,1,640,436
15,image1010.jpg,sobel,mt,0,7.023000,1,640,436
15,image1010.jpg,sharpen,cuda,0,0.038900,1,640,436
15,image1010.jpg,sharpen,cpu,1,14.742000,1,640,436
15,image1010.jpg,sharpen,mt,0,15.147600,1,640,436
15,image1010.jpg,gaussian,cuda,0,0.070800,1,640,436
15,image1010.jpg,gaussian,cpu,1,12.163600,1,640,436
15,image1010.jpg,gaussian,mt,0,12.137500,1,640,436
16,image1011.jpg,sobel,cuda,0,0.080200,1,534,800
16,image1011.jpg,sobel,cpu,1,10.800800,1,534,800
16,image1011.jpg,sobel,mt,0,10.592800,1,534,800
16,image1011.jpg,sharpen,cuda,0,0.040400,1,534,800
16,image1011.jpg,sharpen,cpu,1,22.055300,1,534,800
16,image1011.jpg,sharpen,mt,0,21.484100,1,534,800
16,image1011.jpg,gaussian,cuda,0,0.070000,1,534,800
16,image1011.jpg,gaussian,cpu,1,18.758600,1,534,800
16,image1011.jpg,gaussian,mt,0,18.944700,1,534,800
17,image1012.jpg,sobel,cuda,0,0.109900,1,1024,685
17,image1012.jpg,sobel,cpu,1,18.008800,1,1024,685
17,image1012.jpg,sobel,mt,0,17.709200,1,1024,685
17,image1012.jpg,sharpen,cuda,0,0.045600,1,1024,685
17,image1012.jpg,sharpen,cpu,1,37.132200,1,1024,685
17,image1012.jpg,sharpen,mt,0,35.920700,1,1024,685
17,image1012.jpg,gaussian,cuda,0,0.076400,1,1024,685
17,image1012.jpg,gaussian,cpu,1,30.562000,1,1024,685
17,image1012.jpg,gaussian,mt,0,30.238500,1,1024,685
18,image1013.jpg,sobel,cuda,0,0.125300,1,1024,847
18,image1013.jpg,sobel,cpu,1,22.081900,1,1024,847
18,image1013.jpg,sobel,mt,0,22.324200,1,1024,847
18,image1013.jpg,sharpen,cuda,0,0.051100,1,1024,847
18,image1013.jpg,sharpen,cpu,1,43.127100,1,1024,847
18,image1013.jpg,sharpen,mt,0,44.276200,1,1024,847
18,image1013.jpg,gaussian,cuda,0,0.080000,1,1024,847
18,image1013.jpg,gaussian,cpu,1,37.723800,1,1024,847
18,image1013.jpg,gaussian,mt,0,37.475600,1,1024,847
19,image1014.jpg,sobel,cuda,0,0.081300,1,795,498
19,image1014.jpg,sobel,cpu,1,10.108800,1,795,498
19,image1014.jpg,sobel,mt,0,9.887400,1,795,498
19,image1014.jpg,sharpen,cuda,0,0.057200,1,795,498
19,image1014.jpg,sharpen,cpu,1,19.883100,1,795,498
19,image1014.jpg,sharpen,mt,0,19.900100,1,795,498
19,image1014.jpg,gaussian,cuda,0,0.073100,1,795,498
19,image1014.jpg,gaussian,cpu,1,17.090400,1,795,498
19,image1014.jpg,gaussian,mt,0,17.404100,1,795,498
20,image1015.jpg,sobel,cuda,0,0.119100,1,1024,768
20,image1015.jpg,sobel,cpu,1,19.630900,1,1024,768
20,image1015.jpg,sobel,mt,0,19.652000,1,1024,768
20,image1015.jpg,sharpen,cuda,0,0.049800,1,1024,768
20,image1015.jpg,sharpen,cpu,1,39.873500,1,1024,768
20,image1015.jpg,sharpen,mt,0,38.716700,1,1024,768
20,image1015.jpg,gaussian,cuda,0,0.081500,1,1024,768
20,image1015.jpg,gaussian,cpu,1,35.371900,1,1024,768
20,image1015.jpg,gaussian,mt,0,34.507300,1,1024,768
21,image1016.jpg,sobel,cuda,0,0.107500,1,1024,683
21,image1016.jpg,sobel,cpu,1,17.666200,1,1024,683
21,image1016.jpg,sobel,mt,0,18.587000,1,1024,683
21,image1016.jpg,sharpen,cuda,0,0.046000,1,1024,683
21,image1016.jpg,sharpen,cpu,1,35.965900,1,1024,683
21,image1016.jpg,sharpen,mt,0,35.509000,1,1024,683
21,image1016.jpg,gaussian,cuda,0,0.077600,1,1024,683
21,image1016.jpg,gaussian,cpu,1,31.143300,1,1024,683
21,image1016.jpg,gaussian,mt,0,30.534100,1,1024,683
22,image1017.jpg,sobel,cuda,0,0.072900,1,487,700
22,image1017.jpg,sobel,cpu,1,8.607500,1,487,700
22,image1017.jpg,sobel,mt,0,8.665200,1,487,700
22,image1017.jpg,sharpen,cuda,0,0.048700,1,487,700
22,image1017.jpg,sharpen,cpu,1,17.100600,1,487,700
22,image1017.jpg,sharpen,mt,0,17.047900,1,487,700
22,image1017.jpg,gaussian,cuda,0,0.102900,1,487,700
22,image1017.jpg,gaussian,cpu,1,14.752100,1,487,700
22,image1017.jpg,gaussian,mt,0,14.656400,1,487,700
23,image1018.jpg,sobel,cuda,0,0.194600,1,999,666
23,image1018.jpg,sobel,cpu,1,16.769000,1,999,666
23,image1018.jpg,sobel,mt,0,16.960600,1,999,666
23,image1018.jpg,sharpen,cuda,0,0.046100,1,999,666
23,image1018.jpg,sharpen,cpu,1,35.547100,1,999,666
23,image1018.jpg,sharpen,mt,0,34.704100,1,999,666
23,image1018.jpg,gaussian,cuda,0,0.081000,1,999,666
23,image1018.jpg,gaussian,cpu,1,29.088700,1,999,666
23,image1018.jpg,gaussian,mt,0,30.194000,1,999,666
24,image1019.jpg,sobel,cuda,0,0.176900,1,1600,900
24,image1019.jpg,sobel,cpu,1,36.461600,1,1600,900
24,image1019.jpg,sobel,mt,0,36.242700,1,1600,900
24,image1019.jpg,sharpen,cuda,0,0.055100,1,1600,900
24,image1019.jpg,sharpen,cpu,1,72.691600,1,1600,900
24,image1019.jpg,sharpen,mt,0,72.709900,1,1600,900
24,image1019.jpg,gaussian,cuda,0,0.095300,1,1600,900
24,image1019.jpg,gaussian,cpu,1,63.000500,1,1600,900
24,image1019.jpg,gaussian,mt,0,61.253100,1,1600,900
25,image102.jpg,sobel,cuda,0,0.140500,1,1024,1024
25,image102.jpg,sobel,cpu,1,27.540500,1,1024,1024
25,image102.jpg,sobel,mt,0,26.808200,1,1024,1024
25,image102.jpg,sharpen,cuda,0,0.049500,1,1024,1024
25,image102.jpg,sharpen,cpu,1,52.641400,1,1024,1024
25,image102.jpg,sharpen,mt,0,52.442400,1,1024,1024
25,image102.jpg,gaussian,cuda,0,0.274000,1,1024,1024
25,image102.jpg,gaussian,cpu,1,46.220500,1,1024,1024
25,image102.jpg,gaussian,mt,0,45.782300,1,1024,1024
26,image1020.jpg,sobel,cuda,0,0.107400,1,1024,662
26,image1020.jpg,sobel,cpu,1,17.433600,1,1024,662
26,image1020.jpg,sobel,mt,0,16.988200,1,1024,662
26,image1020.jpg,sharpen,cuda,0,0.044800,1,1024,662
